Год_рождения,Подписаны_документы,Пол,БылПростой,ОпытВДолжности,Активность,Знак_зодиака,Возраст,Оценка_HR,УровеньОплаты,Офлайн_участие,Образование,Телефон,Город,Размер,Закрытые_проекты,ГодНайма,Курсы,Увольнение
,Нет,,No,1.0,425.0,,29.0,3.0,3.0,0.0,Bachelors,912949976366,Bangalore,M,,2016.0,2.0,0
1997.0,Нет,Female,No,1.0,425.0,,29.0,3.0,3.0,0.0,,912949976366,Bangalore,M,8.0,2016.0,,0
1997.0,,Female,No,1.0,,Весы,29.0,3.0,,,Bachelors,912949976366,Bangalore,M,8.0,2016.0,2.0,0
1996.0,,Female,No,1.0,205.0,Рак,29.0,2.0,3.0,1.0,Bachelors,913334608906,Bangalore,,,2012.0,3.0,0
1996.0,Нет,Female,No,1.0,,,29.0,2.0,3.0,1.0,Bachelors,913334608906,,S,0.0,2012.0,3.0,0
1996.0,Нет,Female,No,1.0,205.0,Рак,29.0,,3.0,1.0,,913334608906,Bangalore,S,0.0,,3.0,0
,,Female,No,1.0,205.0,Рак,29.0,2.0,,1.0,Bachelors,913334608906,,,0.0,2012.0,,0
1996.0,,Female,No,1.0,,Рак,29.0,,3.0,1.0,Bachelors,913334608906,Bangalore,S,0.0,,3.0,0
1996.0,Да,Male,,2.0,42.0,,29.0,4.0,3.0,0.0,Bachelors,912812702823,Bangalore,L,3.0,2018.0,2.0,1
1996.0,Да,Male,Yes,2.0,42.0,,,4.0,3.0,0.0,Bachelors,912812702823,Bangalore,L,3.0,2018.0,,1
1996.0,Да,Male,Yes,2.0,,Козерог,29.0,,3.0,0.0,,912812702823,Bangalore,L,,,2.0,1
1995.0,Нет,,No,1.0,,,30.0,,,,Bachelors,912832156176,Pune,XL,0.0,,5.0,0
1995.0,Нет,Male,No,1.0,257.0,Стрелец,30.0,5.0,3.0,1.0,Bachelors,912832156176,Pune,XL,,2012.0,5.0,0
1995.0,Нет,Male,No,,257.0,Стрелец,30.0,5.0,3.0,1.0,Bachelors,912832156176,Pune,XL,,2012.0,5.0,0
1995.0,,Male,No,1.0,257.0,Стрелец,30.0,5.0,3.0,1.0,,912832156176,,XL,0.0,2012.0,5.0,0
,Да,Male,Yes,1.0,445.0,Рыбы,30.0,0.0,3.0,0.0,Bachelors,917045707028,Bangalore,,11.0,2013.0,1.0,1
1997.0,,Male,Yes,1.0,,Рыбы,30.0,0.0,3.0,0.0,Bachelors,917045707028,Bangalore,,11.0,2013.0,1.0,1
1997.0,Нет,Female,Yes,,,Дева,29.0,7.0,3.0,0.0,Bachelors,918102065229,New Delhi,L,9.0,2015.0,1.0,0
1996.0,Нет,Female,No,,116.0,Рыбы,30.0,4.0,3.0,0.0,Bachelors,913988099460,Bangalore,,11.0,,,0
1996.0,Нет,,No,1.0,116.0,Рыбы,30.0,4.0,3.0,0.0,Bachelors,913988099460,Bangalore,M,,2014.0,2.0,0
,Нет,Female,,1.0,116.0,Рыбы,,,3.0,,Bachelors,913988099460,,,11.0,2014.0,,0
1996.0,,Female,No,1.0,116.0,Рыбы,30.0,4.0,,,Bachelors,913988099460,Bangalore,M,11.0,2014.0,2.0,0
1996.0,Нет,Female,No,1.0,116.0,Рыбы,30.0,4.0,3.0,,Bachelors,913988099460,Bangalore,M,,2014.0,2.0,0
1997.0,Нет,Male,No,2.0,19.0,Стрелец,,4.0,1.0,1.0,Bachelors,919304525379,Pune,S,2.0,2014.0,4.0,0
1998.0,Нет,Female,No,,128.0,Водолей,27.0,0.0,3.0,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,3.0,0
,Нет,Female,No,5.0,128.0,Водолей,27.0,0.0,3.0,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,3.0,0
1998.0,,Female,No,5.0,128.0,,27.0,0.0,,1.0,,917839465542,Pune,S,,2015.0,3.0,0
1998.0,Нет,,No,5.0,128.0,,,0.0,,1.0,Bachelors,917839465542,Pune,S,4.0,2015.0,,0
1995.0,Да,,No,1.0,,Близнецы,,,,1.0,,913051200679,,M,,2016.0,4.0,1
1995.0,Да,Male,No,1.0,271.0,Близнецы,30.0,0.0,3.0,,Bachelors,913051200679,Bangalore,,13.0,2016.0,4.0,1
1999.0,Да,Female,No,4.0,64.0,Скорпион,26.0,,,0.0,,914011219791,Pune,M,4.0,,5.0,1
1999.0,Да,Female,No,,64.0,Скорпион,26.0,,,0.0,Bachelors,914011219791,,,4.0,2016.0,5.0,1
1999.0,,Female,,,64.0,,26.0,,,0.0,Bachelors,914011219791,Pune,,4.0,2016.0,5.0,1
1999.0,Да,Female,Yes,5.0,226.0,,27.0,10.0,,0.0,,918716463579,New Delhi,S,,2018.0,,1
,Нет,Male,No,5.0,268.0,Козерог,,10.0,,1.0,Bachelors,911147345914,Pune,XL,0.0,2012.0,1.0,0
,Нет,Male,No,5.0,268.0,Козерог,,,1.0,,Bachelors,911147345914,Pune,XL,0.0,2012.0,1.0,0
,Нет,Female,No,,3.0,,28.0,0.0,3.0,,PHD,917824788313,Bangalore,XL,,2017.0,,0
1999.0,Нет,Female,No,1.0,3.0,Овен,28.0,0.0,,1.0,PHD,917824788313,Bangalore,XL,13.0,2017.0,5.0,0
1998.0,Да,Female,No,,265.0,Рыбы,29.0,,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,No,1.0,265.0,,,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,,1.0,,Рыбы,29.0,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,,1
1998.0,Да,Female,No,1.0,265.0,,,4.0,3.0,1.0,Bachelors,914181979092,Pune,L,10.0,2015.0,1.0,1
1997.0,Нет,Male,Yes,2.0,102.0,Телец,30.0,9.0,,1.0,Masters,914707696823,New Delhi,M,4.0,,4.0,0
,Нет,Male,Yes,2.0,102.0,Телец,30.0,9.0,3.0,1.0,Masters,914707696823,New Delhi,,4.0,2014.0,,0
1996.0,Нет,,No,2.0,8.0,,30.0,10.0,3.0,0.0,Masters,917693367453,New Delhi,XL,,2012.0,2.0,0
1996.0,Нет,Male,No,2.0,8.0,Близнецы,30.0,10.0,,0.0,Masters,917693367453,New Delhi,XL,0.0,2012.0,2.0,0
1996.0,Нет,Male,No,2.0,8.0,,30.0,10.0,3.0,0.0,Masters,917693367453,New Delhi,,0.0,,2.0,0
1996.0,Нет,Male,No,2.0,8.0,Близнецы,,10.0,,0.0,Masters,917693367453,New Delhi,XL,0.0,2012.0,2.0,0
,Нет,,,2.0,8.0,Близнецы,30.0,10.0,,,Masters,917693367453,,XL,0.0,2012.0,2.0,0
,Да,Male,Yes,1.0,109.0,Козерог,30.0,4.0,3.0,0.0,,912473910984,Bangalore,M,,,1.0,1
,,,No,2.0,2.0,Скорпион,29.0,,3.0,1.0,,919860816184,,M,7.0,2017.0,2.0,0
1998.0,Нет,Female,No,,2.0,,,5.0,,,Masters,919860816184,New Delhi,M,7.0,2017.0,2.0,0
1998.0,Нет,Female,No,2.0,2.0,Скорпион,29.0,,3.0,,Masters,919860816184,New Delhi,,,2017.0,2.0,0
,Нет,Female,No,2.0,,Скорпион,29.0,,3.0,1.0,,919860816184,New Delhi,M,7.0,2017.0,2.0,0
1996.0,Нет,Male,No,2.0,432.0,Лев,,6.0,3.0,0.0,Bachelors,911243195866,Bangalore,,5.0,,1.0,0
,,Male,No,2.0,,,,6.0,3.0,0.0,,911243195866,Bangalore,XXL,5.0,,1.0,0
1996.0,Нет,Male,No,,,Лев,,6.0,3.0,0.0,Bachelors,911243195866,Bangalore,XXL,5.0,2014.0,1.0,0
1996.0,Нет,,,2.0,432.0,Лев,29.0,6.0,3.0,0.0,Bachelors,911243195866,Bangalore,,5.0,2014.0,1.0,0
,Нет,Male,,2.0,432.0,,29.0,6.0,3.0,0.0,Bachelors,911243195866,Bangalore,,5.0,2014.0,1.0,0
1997.0,Нет,Male,No,1.0,,Скорпион,28.0,,3.0,0.0,Bachelors,919128490867,New Delhi,M,2.0,2017.0,3.0,0
1997.0,Нет,Male,No,1.0,491.0,,28.0,,3.0,0.0,Bachelors,919128490867,New Delhi,M,2.0,2017.0,3.0,0
,Нет,Male,No,1.0,491.0,,28.0,0.0,3.0,0.0,Bachelors,919128490867,New Delhi,M,,2017.0,3.0,0
1997.0,Нет,,No,1.0,491.0,Скорпион,28.0,0.0,3.0,0.0,Bachelors,919128490867,New Delhi,M,2.0,2017.0,3.0,0
1998.0,Нет,Male,No,1.0,85.0,Рак,,,1.0,1.0,Bachelors,911432808951,Bangalore,S,11.0,2014.0,,0
,,Male,No,1.0,,Рак,28.0,,1.0,1.0,,911432808951,,S,11.0,2014.0,,0
1998.0,Нет,Male,No,1.0,,Рак,28.0,,1.0,1.0,Bachelors,911432808951,Bangalore,S,11.0,2014.0,3.0,0
1998.0,Нет,Female,No,2.0,77.0,Близнецы,29.0,,1.0,1.0,PHD,917602266045,New Delhi,S,,2012.0,2.0,0
1998.0,,Female,No,2.0,77.0,Близнецы,29.0,6.0,,1.0,PHD,917602266045,New Delhi,S,5.0,2012.0,2.0,0
1995.0,Да,Female,,2.0,378.0,Близнецы,30.0,5.0,3.0,0.0,Bachelors,917369402847,,XS,4.0,2013.0,3.0,1
1995.0,Да,Female,No,2.0,378.0,,30.0,5.0,3.0,0.0,Bachelors,917369402847,Bangalore,XS,4.0,2013.0,3.0,1
1995.0,Да,Female,,2.0,,Близнецы,30.0,5.0,3.0,0.0,Bachelors,917369402847,Bangalore,XS,4.0,,3.0,1
1999.0,Нет,Male,No,1.0,160.0,Рак,28.0,8.0,3.0,0.0,Bachelors,914363336346,Pune,M,12.0,2014.0,1.0,0
1999.0,Нет,Male,,,160.0,Рак,28.0,8.0,3.0,0.0,Bachelors,914363336346,Pune,M,,2014.0,1.0,0
,Да,Male,No,4.0,417.0,Телец,26.0,10.0,2.0,,,913641681467,,,4.0,2013.0,,1
1998.0,Нет,Female,No,5.0,,Рак,,2.0,3.0,1.0,,911163564375,,M,9.0,,1.0,0
1998.0,Нет,Female,No,5.0,,,27.0,2.0,3.0,1.0,Bachelors,911163564375,Pune,M,9.0,,1.0,0
1998.0,Нет,,No,5.0,396.0,Рак,27.0,2.0,,1.0,Bachelors,911163564375,Pune,M,9.0,,1.0,0
,,Male,No,2.0,480.0,Весы,28.0,8.0,3.0,,PHD,917061883483,New Delhi,S,,2015.0,3.0,0
1998.0,Нет,Male,,2.0,45.0,,28.0,6.0,2.0,,Masters,912166084928,Pune,XL,,2017.0,5.0,0
1998.0,Нет,Male,,2.0,,Рыбы,,,2.0,0.0,Masters,912166084928,,XL,8.0,2017.0,,0
,Нет,Male,No,2.0,45.0,Рыбы,28.0,6.0,2.0,0.0,Masters,912166084928,Pune,XL,8.0,2017.0,5.0,0
1998.0,Нет,Male,No,2.0,,Рыбы,28.0,,2.0,,Masters,912166084928,,XL,,2017.0,5.0,0
1999.0,Нет,Male,,4.0,244.0,Водолей,28.0,8.0,3.0,1.0,Bachelors,917783091198,Pune,,10.0,2014.0,,0
,,Male,No,,244.0,Водолей,28.0,8.0,3.0,1.0,,917783091198,Pune,,10.0,2014.0,4.0,0
1999.0,Нет,Male,No,4.0,244.0,Водолей,28.0,8.0,,1.0,Bachelors,917783091198,,M,10.0,,4.0,0
1999.0,,Male,No,4.0,244.0,Водолей,28.0,,3.0,,,917783091198,Pune,M,,2014.0,4.0,0
1998.0,Да,Female,No,1.0,350.0,Козерог,29.0,5.0,3.0,1.0,Bachelors,916791552777,Bangalore,M,0.0,2016.0,2.0,1
2001.0,Да,Female,No,4.0,22.0,Козерог,,7.0,3.0,,Bachelors,915848215148,Bangalore,M,15.0,,1.0,1
2001.0,Да,,No,4.0,22.0,Козерог,26.0,7.0,3.0,0.0,Bachelors,915848215148,Bangalore,M,15.0,2017.0,1.0,1
1997.0,Нет,Male,No,,122.0,Лев,30.0,2.0,3.0,0.0,Bachelors,918073417586,Bangalore,L,0.0,2015.0,2.0,0
1997.0,Нет,Male,No,,122.0,Лев,30.0,2.0,,0.0,Bachelors,918073417586,Bangalore,L,0.0,2015.0,2.0,0
1997.0,Нет,Male,No,0.0,122.0,Лев,,,3.0,0.0,Bachelors,918073417586,Bangalore,L,0.0,2015.0,2.0,0
,Нет,Female,No,,194.0,Водолей,30.0,5.0,1.0,,Bachelors,914084760021,Bangalore,M,,2012.0,3.0,0
1996.0,Нет,Female,,,,Водолей,30.0,5.0,,1.0,Bachelors,914084760021,Bangalore,M,,,3.0,0
1996.0,,Female,,0.0,,Водолей,30.0,5.0,1.0,1.0,Bachelors,914084760021,Bangalore,,13.0,2012.0,3.0,0
1996.0,Да,Female,,3.0,428.0,Водолей,29.0,7.0,,1.0,Bachelors,913471880105,Pune,M,6.0,2015.0,3.0,1
,Да,Female,No,3.0,428.0,Водолей,29.0,7.0,3.0,1.0,,913471880105,Pune,M,,2015.0,3.0,1
,Да,Female,No,,428.0,,,7.0,3.0,1.0,Bachelors,913471880105,,M,6.0,2015.0,3.0,1
,Да,Male,No,0.0,,Скорпион,30.0,8.0,2.0,1.0,Masters,914409123618,Pune,,8.0,,,1
1996.0,Да,Male,No,0.0,255.0,Скорпион,30.0,,2.0,1.0,,914409123618,Pune,,,2017.0,1.0,1
1996.0,Да,Male,,0.0,255.0,Скорпион,30.0,8.0,,1.0,Masters,914409123618,Pune,,8.0,,,1
1995.0,Да,Male,,0.0,361.0,,30.0,5.0,3.0,,Masters,918647015015,,,6.0,2014.0,3.0,1
1995.0,Да,Male,No,0.0,361.0,Телец,30.0,5.0,3.0,1.0,Masters,918647015015,Pune,XL,6.0,2014.0,3.0,1
1996.0,Нет,Male,Yes,2.0,,Скорпион,29.0,5.0,3.0,1.0,Bachelors,911295379021,Pune,,5.0,2013.0,3.0,0
1996.0,,,Yes,2.0,297.0,Скорпион,29.0,5.0,,1.0,Bachelors,911295379021,Pune,M,5.0,2013.0,3.0,0
,Нет,Male,,2.0,,Скорпион,29.0,5.0,,1.0,,911295379021,Pune,M,,2013.0,3.0,0
1998.0,Да,Male,,5.0,22.0,,27.0,0.0,3.0,0.0,Masters,912769947871,New Delhi,,2.0,2018.0,,1
1998.0,Да,Male,Yes,5.0,22.0,,27.0,,3.0,0.0,Masters,912769947871,New Delhi,M,2.0,2018.0,3.0,1
1997.0,,,No,,139.0,Рак,30.0,3.0,3.0,1.0,Bachelors,913447617417,Bangalore,,,2012.0,3.0,1
,Да,Female,No,0.0,139.0,,30.0,3.0,3.0,1.0,Bachelors,913447617417,Bangalore,XS,12.0,2012.0,3.0,1
1997.0,Да,Female,,0.0,,Рак,30.0,3.0,3.0,1.0,,913447617417,Bangalore,XS,12.0,2012.0,3.0,1
1997.0,Да,Female,No,0.0,139.0,Рак,30.0,3.0,3.0,,Bachelors,913447617417,Bangalore,XS,,,3.0,1
1998.0,,Female,No,4.0,96.0,Водолей,29.0,7.0,3.0,1.0,,911427742788,Bangalore,S,10.0,2012.0,2.0,0
1999.0,,Male,Yes,4.0,325.0,Козерог,28.0,,,0.0,Bachelors,918426278531,,S,13.0,2015.0,1.0,0
1996.0,Нет,Male,,5.0,56.0,Овен,,,3.0,1.0,Bachelors,919853536663,Pune,L,7.0,2016.0,2.0,0
,Нет,Male,No,,56.0,Овен,29.0,3.0,3.0,1.0,,919853536663,Pune,L,7.0,2016.0,,0
,Нет,Male,No,5.0,56.0,Овен,29.0,,3.0,1.0,Bachelors,919853536663,Pune,L,,2016.0,2.0,0
1997.0,Нет,Male,,,350.0,Рак,,5.0,3.0,1.0,Bachelors,918356460434,,XL,12.0,2014.0,4.0,0
1997.0,Нет,Male,No,,,Рак,29.0,5.0,3.0,1.0,Bachelors,918356460434,Bangalore,XL,12.0,2014.0,,0
1997.0,Нет,Male,No,0.0,350.0,,,5.0,3.0,1.0,,918356460434,Bangalore,XL,12.0,2014.0,4.0,0
1997.0,Нет,Male,No,0.0,,,29.0,5.0,3.0,1.0,Bachelors,918356460434,Bangalore,XL,12.0,2014.0,4.0,0
1997.0,Нет,Male,,0.0,350.0,Рак,29.0,5.0,3.0,1.0,Bachelors,918356460434,,,12.0,,4.0,0
1995.0,Да,Male,No,5.0,192.0,Лев,30.0,,3.0,1.0,Masters,917336912279,Bangalore,L,0.0,2013.0,1.0,1
1995.0,Да,Male,,5.0,192.0,Лев,30.0,6.0,,1.0,,917336912279,Bangalore,L,0.0,2013.0,1.0,1
1995.0,Да,Male,No,,192.0,Лев,30.0,6.0,3.0,1.0,,917336912279,,,,2013.0,1.0,1
1996.0,Нет,Female,Yes,3.0,51.0,Рак,30.0,5.0,3.0,1.0,Bachelors,912492796465,,,,2017.0,2.0,0
1996.0,,Female,Yes,,,Рак,30.0,5.0,,1.0,Bachelors,912492796465,,L,6.0,2017.0,2.0,0
1996.0,,Female,Yes,3.0,51.0,Рак,,5.0,3.0,1.0,Bachelors,912492796465,New Delhi,L,,2017.0,2.0,0
1996.0,Нет,Female,Yes,3.0,51.0,Рак,30.0,5.0,3.0,1.0,Bachelors,912492796465,New Delhi,,,2017.0,2.0,0
1995.0,Нет,Female,No,,147.0,Близнецы,,0.0,2.0,0.0,PHD,918207784410,Pune,M,0.0,2015.0,1.0,0
1995.0,Нет,Female,No,,147.0,Близнецы,30.0,,2.0,0.0,PHD,918207784410,Pune,M,0.0,2015.0,1.0,0
1995.0,Нет,,No,4.0,147.0,,30.0,0.0,2.0,0.0,,918207784410,Pune,M,0.0,,1.0,0
,,,No,4.0,147.0,,,,2.0,0.0,PHD,918207784410,,M,0.0,2015.0,1.0,0
1995.0,Нет,Female,,,147.0,Близнецы,,0.0,2.0,0.0,PHD,918207784410,Pune,M,,2015.0,,0
1995.0,Да,Male,No,4.0,171.0,,,6.0,,0.0,Masters,919901136905,Bangalore,M,,2014.0,1.0,1
1995.0,Да,Male,No,4.0,171.0,Водолей,30.0,6.0,3.0,,Masters,919901136905,Bangalore,M,14.0,2014.0,,1
1995.0,Да,Male,,4.0,171.0,Водолей,30.0,,3.0,,Masters,919901136905,,M,14.0,2014.0,1.0,1
1995.0,Да,Male,No,,,Водолей,,6.0,3.0,,Masters,919901136905,Bangalore,M,14.0,2014.0,1.0,1
1995.0,Да,Male,No,4.0,,Водолей,30.0,6.0,3.0,0.0,Masters,919901136905,,M,14.0,,1.0,1
1996.0,,Male,,0.0,492.0,Козерог,30.0,,,1.0,Bachelors,919287775086,,L,12.0,2013.0,1.0,0
1996.0,,Male,No,0.0,492.0,,30.0,0.0,3.0,1.0,Bachelors,919287775086,Pune,,12.0,2013.0,1.0,0
1996.0,Нет,Male,No,0.0,492.0,,30.0,0.0,3.0,1.0,,919287775086,Pune,,12.0,2013.0,1.0,0
,Нет,Male,No,0.0,,,,,,1.0,Bachelors,919287775086,Pune,L,12.0,,,0
1995.0,,Male,No,0.0,407.0,Скорпион,30.0,,,0.0,Masters,919083820259,Pune,,11.0,2017.0,3.0,0
,,Male,No,0.0,407.0,Скорпион,,,2.0,,Masters,919083820259,,XXL,11.0,2017.0,3.0,0
,Нет,Male,No,0.0,407.0,Скорпион,30.0,3.0,2.0,0.0,,919083820259,Pune,XXL,11.0,,,0
1995.0,Нет,Male,No,,407.0,Скорпион,30.0,3.0,2.0,0.0,Masters,919083820259,,,11.0,2017.0,3.0,0
,Нет,Male,No,,407.0,Скорпион,,3.0,2.0,0.0,Masters,919083820259,Pune,XXL,11.0,2017.0,3.0,0
1997.0,Нет,Male,No,,,Водолей,29.0,0.0,2.0,,Masters,914924847962,New Delhi,L,,2017.0,3.0,0
1997.0,Нет,Male,No,,130.0,,29.0,0.0,2.0,,Masters,914924847962,,L,0.0,2017.0,3.0,0
,Да,Male,No,5.0,338.0,Рыбы,27.0,6.0,1.0,1.0,Bachelors,911770133957,Bangalore,L,1.0,2014.0,3.0,1
1996.0,,Male,No,2.0,303.0,Козерог,29.0,3.0,,1.0,Bachelors,913865568430,,,4.0,2012.0,4.0,1
1996.0,Нет,Male,No,,303.0,,,3.0,3.0,1.0,Bachelors,913865568430,Bangalore,L,4.0,2012.0,4.0,1
1996.0,Нет,Male,No,2.0,303.0,Козерог,29.0,3.0,3.0,1.0,Bachelors,913865568430,Bangalore,,4.0,2012.0,4.0,1
1995.0,Да,Female,,2.0,,Овен,30.0,,2.0,0.0,Masters,915310822678,New Delhi,S,7.0,2017.0,2.0,1
1995.0,Да,Female,No,2.0,,Овен,,2.0,2.0,,,915310822678,New Delhi,S,7.0,2017.0,2.0,1
1995.0,Да,Female,No,2.0,166.0,Овен,30.0,2.0,2.0,,,915310822678,New Delhi,S,7.0,2017.0,,1
1995.0,,Female,No,2.0,166.0,,,2.0,,0.0,Masters,915310822678,New Delhi,S,7.0,2017.0,2.0,1
1995.0,Да,Female,No,2.0,,Овен,30.0,,2.0,0.0,,915310822678,New Delhi,,7.0,2017.0,2.0,1
1998.0,Нет,Male,No,,431.0,Рак,29.0,3.0,3.0,0.0,,917484183137,,S,,2012.0,1.0,0
1998.0,Нет,Male,No,0.0,431.0,Рак,29.0,3.0,3.0,0.0,,917484183137,Pune,S,6.0,2012.0,1.0,0
1998.0,Нет,,No,0.0,431.0,Рак,29.0,,,0.0,Bachelors,917484183137,,,6.0,2012.0,1.0,0
,Нет,,,0.0,431.0,Рак,29.0,3.0,3.0,0.0,Bachelors,917484183137,Pune,S,,2012.0,1.0,0
,Да,Female,No,0.0,358.0,Овен,30.0,6.0,1.0,,Bachelors,914423723967,,,10.0,2015.0,,1
1996.0,Да,Female,No,0.0,,Овен,30.0,6.0,1.0,0.0,Bachelors,914423723967,Pune,M,10.0,2015.0,2.0,1
1996.0,Да,Female,,0.0,358.0,,30.0,6.0,1.0,0.0,Bachelors,914423723967,Pune,M,10.0,2015.0,2.0,1
1995.0,Да,Female,No,,360.0,,30.0,10.0,2.0,1.0,Bachelors,916048099673,Pune,L,4.0,2017.0,5.0,1
1995.0,Да,Female,No,4.0,360.0,Овен,30.0,10.0,2.0,1.0,Bachelors,916048099673,Pune,L,4.0,,5.0,1
1995.0,Да,Female,No,,360.0,Овен,30.0,10.0,2.0,1.0,,916048099673,Pune,L,,2017.0,5.0,1
1995.0,,Female,No,4.0,,Овен,30.0,10.0,2.0,1.0,Bachelors,916048099673,,,4.0,,5.0,1
,Да,Female,No,4.0,360.0,Овен,30.0,10.0,2.0,1.0,,916048099673,Pune,,,2017.0,5.0,1
1997.0,Нет,Male,No,,326.0,Близнецы,,,2.0,1.0,Bachelors,918681220077,Pune,,9.0,2017.0,3.0,0
1996.0,Нет,Female,No,5.0,96.0,,29.0,4.0,3.0,0.0,Bachelors,919160070844,Bangalore,M,13.0,2013.0,,0
1999.0,Да,Female,No,5.0,424.0,,27.0,4.0,3.0,0.0,Bachelors,913224829221,,,,2012.0,4.0,1
,,Female,No,5.0,424.0,Рак,27.0,4.0,3.0,,Bachelors,913224829221,,M,11.0,2012.0,,1
1999.0,,Female,No,5.0,424.0,Рак,27.0,4.0,3.0,0.0,Bachelors,913224829221,Bangalore,M,11.0,,4.0,1
1998.0,,Female,No,,80.0,Скорпион,28.0,1.0,2.0,,Bachelors,911179013942,Pune,M,11.0,,,1
,Да,Female,No,3.0,80.0,Скорпион,,1.0,2.0,0.0,,911179013942,,M,11.0,2017.0,4.0,1
1998.0,Да,Female,,3.0,,,28.0,1.0,2.0,0.0,Bachelors,911179013942,Pune,M,11.0,,4.0,1
,,Female,,3.0,80.0,Скорпион,28.0,1.0,2.0,0.0,Bachelors,911179013942,Pune,M,11.0,,4.0,1
1998.0,Да,Female,No,3.0,,Скорпион,28.0,1.0,2.0,0.0,Bachelors,911179013942,Pune,M,,2017.0,,1
1997.0,Нет,Male,No,4.0,46.0,Рак,29.0,3.0,1.0,0.0,Bachelors,919661671057,Bangalore,M,12.0,2015.0,3.0,0
1997.0,Нет,Male,No,4.0,46.0,Рак,29.0,3.0,1.0,,Bachelors,919661671057,Bangalore,M,12.0,2015.0,3.0,0
1997.0,Нет,Male,No,4.0,46.0,,29.0,3.0,1.0,0.0,Bachelors,919661671057,Bangalore,M,12.0,2015.0,3.0,0
1995.0,Да,Male,No,,459.0,Козерог,30.0,,2.0,,Bachelors,919424707195,Bangalore,L,3.0,,2.0,1
1995.0,Да,Male,,0.0,459.0,Козерог,,,2.0,1.0,,919424707195,,L,,2013.0,,1
1995.0,Да,Male,No,0.0,459.0,Козерог,30.0,0.0,2.0,1.0,Bachelors,919424707195,Bangalore,L,3.0,2013.0,2.0,1
1999.0,,Male,No,2.0,269.0,Водолей,28.0,7.0,3.0,1.0,,915260824420,Bangalore,XL,15.0,2018.0,4.0,1
1999.0,,Male,,2.0,269.0,Водолей,28.0,7.0,3.0,,,915260824420,Bangalore,XL,,2018.0,,1
1999.0,,Male,,,269.0,Водолей,,,3.0,1.0,PHD,915260824420,Bangalore,XL,,2018.0,4.0,1
1999.0,Да,,No,2.0,269.0,,28.0,7.0,,1.0,PHD,915260824420,Bangalore,,,2018.0,4.0,1
1999.0,Да,Male,No,,,Водолей,28.0,7.0,3.0,1.0,,915260824420,,XL,15.0,,4.0,1
,Да,Female,No,3.0,,Козерог,28.0,10.0,3.0,0.0,,912585452391,Pune,,4.0,2015.0,,1
1997.0,,Female,No,3.0,491.0,Козерог,,10.0,3.0,,Bachelors,912585452391,Pune,M,,2015.0,5.0,1
1997.0,Да,Female,,,491.0,,28.0,10.0,3.0,0.0,Bachelors,912585452391,,M,,2015.0,,1
1997.0,,Female,,,491.0,Козерог,28.0,10.0,,0.0,Bachelors,912585452391,Pune,,4.0,2015.0,5.0,1
1997.0,Да,Female,No,3.0,127.0,Телец,30.0,0.0,3.0,0.0,Bachelors,919559406219,Bangalore,M,14.0,2015.0,2.0,1
1997.0,Да,,No,3.0,127.0,Телец,,0.0,3.0,0.0,,919559406219,Bangalore,M,14.0,,2.0,1
1997.0,,Female,No,,,Телец,30.0,0.0,3.0,,Bachelors,919559406219,,M,14.0,2015.0,2.0,1
,Да,Female,No,3.0,127.0,Телец,30.0,0.0,3.0,0.0,,919559406219,Bangalore,,14.0,2015.0,2.0,1
1997.0,,,,,,Телец,30.0,,3.0,0.0,,919559406219,Bangalore,M,14.0,2015.0,,1
1998.0,Нет,Male,No,5.0,131.0,Телец,29.0,10.0,3.0,,Bachelors,915388319145,Bangalore,S,7.0,2012.0,5.0,0
,Нет,,,1.0,432.0,Телец,,10.0,3.0,1.0,Bachelors,913228463559,Pune,L,10.0,,5.0,0
1995.0,Нет,Male,,5.0,404.0,Близнецы,30.0,8.0,3.0,1.0,,917148562526,,L,15.0,2017.0,5.0,0
,Нет,Male,No,5.0,404.0,Близнецы,,8.0,3.0,1.0,,917148562526,Pune,L,15.0,2017.0,5.0,0
1997.0,,Female,Yes,,119.0,Близнецы,30.0,,3.0,,Bachelors,912132673878,New Delhi,M,1.0,2012.0,2.0,0
1997.0,Нет,Female,,3.0,119.0,Близнецы,30.0,4.0,3.0,0.0,Bachelors,912132673878,New Delhi,,1.0,2012.0,2.0,0
1997.0,Да,Male,No,1.0,367.0,Рыбы,,,,1.0,Bachelors,915852718960,,L,7.0,2013.0,5.0,1
1997.0,Да,,No,1.0,367.0,Рыбы,30.0,5.0,2.0,1.0,Bachelors,915852718960,Pune,L,7.0,2013.0,5.0,1
,Да,Male,No,1.0,367.0,Рыбы,30.0,5.0,2.0,1.0,,915852718960,Pune,L,7.0,,5.0,1
1997.0,Да,Male,No,1.0,367.0,Рыбы,30.0,5.0,2.0,1.0,,915852718960,Pune,L,7.0,2013.0,5.0,1
1997.0,,Male,No,1.0,367.0,Рыбы,,,,1.0,Bachelors,915852718960,Pune,,,,5.0,1
1999.0,Нет,Female,No,5.0,48.0,,27.0,9.0,3.0,0.0,PHD,911595142449,New Delhi,M,5.0,2015.0,2.0,0
